SCU Number,Market Name,Owner,Pole Height - AGL,Type,Primary Power,Secondary Power,Communication Lines,Guy Wires,Sign,Light Arm,Banner,Surveillance Equipment,Power Meter,Traffic Signal,Transformer,Other,Comments,Reviewed By,Time Study (Minutes),Link to as built,,,,
409603,"Miami, FL",CC (CrownCastle),35.17,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,N/A,N/A,X; X,Other - Disconnect,Lisa,15,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3702867/3702867_1573597725878_MI90XSL00 - 3_1_Rev 0_05.16.18_Redlined_CD's.pdf,,,,
409748,"Miami, FL",CC (CrownCastle),38.17,Wood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,N/A,N/A,X,Disconnect is other,Erin,15,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3702766/3702766_1576509284735_SM73_31_1_409748_NAT_Revised_As_Built.pdf,,,,
409801,"Miami, FL",City of Hilaleah,40.83,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,N/A,N/A,X,Disconnect is other,Erin,15,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3702705/46_2_409801_Construction_Drawings.pdf,,,,
409889,"Miami, FL",CC (CrownCastle),41.08,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,N/A,N/A,N/A,,Erin,13,https://www.ccisites.com/uploads/non_otg_docs/work_task/3700000-3799999/3702930/3702930_1582910513254_SM56  73_2_409889_Construction_Drawings_redline.pdf,,,,
410566,"Cincinnati, OH",CC (CrownCastle),30,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,"Porthole is the other, height unknown",Erin,20,https://www.ccisites.com/uploads/non_otg_docs/work_task/3800000-3899999/3811641/410566_CI90XS818_NAT_Reviewed_As-Built.pdf,,,,
410567,"Cincinnati, OH",CC (CrownCastle),30,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X,"Porthole is the other, height unknown",Erin,13,https://www.ccisites.com/uploads/non_otg_docs/work_task/3800000-3899999/3811643/410567_CI90XSD04_NAT_Reviewed_As_Built.pdf,,,,
415405,"Dallas-Fort Worth, TX",CC (CrownCastle),27,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,X-5',N/A,N/A,X,,Erin,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4100000-4199999/4113720/DAL_076_-_AE_As-Built_-_08.13.2020.pdf,,,,
415519,"Dallas-Fort Worth, TX",ATTTX (AT&T),28,Wood,N/A,N/A,18';19',N/A,N/A,N/A,N/A,N/A,4',N/A,N/A,X,Power meter height is centerline.  .,Erin,,https://www.ccisites.com/uploads/non_otg_docs/work_task/4100000-4199999/4113746/DAL-190_-_AE_As-Built_-_08.05.2020.pdf,,,,
417613,"Miami, FL",FPL (Florida Power and Light),34,Wood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Erin,,https://www.ccisites.com/uploads/non_otg_docs/work_task/1900000-1999999/1973028/SFL02004_417613_As-Builts_(4-6-18)_-_CORRECTED.pdf,,,,
410572,"Cincinnati, OH",CC (CrownCastle),27.61,Metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.41-5.37,N/A,N/A,N/A,,Erin,,https://www.ccisites.com/uploads/non_otg_docs/work_task/2200000-2299999/2296665/410572_CLIFTON_Z_6_SC_Node_CRC-DAS-149_STETSON_&_BELLEVUE_20171025_NAT_Reviewed_As-Built.pdf,,,,
