scu,jurisdiction,file,owner,latitude,longitude,address,county,pole height,pole height comment,primary power,primary power comment,secondary power,secondary power comment,fiber dist panel,fiber dist panel comment,ac load panel,ac load panel comment,street sign,street sign comment,shroud,shroud comment,antenna,antenna comment,analysis_id
470470,CHICAGO,CHPH33206_SCU-470470_Redline-Node.pdf,COMED,41.923576,-87.738335,2334 N KENNETH AVE,XXXX,37.0,,37.42,,,,11.71,,9.52,,,,23.69,,,,6104ceabf8892d9346eb4739
470472,CHICAGO CITY,CHPH33193_SCU-470472_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 55' 01.15"" N (41.916986)","87º 44' 49.95"" W (-87.747210)",4826 W. ARMITAGE AVE.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104b90cf8892d9346eb4631
470473,CHICAGO CITY,CHPH33195_SCU-470473_Redlines-Node.pdf,XXXX,"41' 54' 14.31"" N (41.903974)","87º 40' 02.24"" W (-87.667288)",1227 N. MILWAUKEE AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104b96df8892d9346eb4635
470474,CHICAGO,CH2283BA_31LAB_Elevation_As_Built_NAT_Redline.pdf,COMED,"41' 59' 56.38"" (41.998995)","-87 41' 47.78"" (-87.696607)",6452 N TALMAN AVE,XXXX,38.21,,35.83,,26.42,,14.33,,16.22,,,,16.19,,44.25,,6104cec0f8892d9346eb473a
470475,CHICAGO,CHPH33182_Node_elevation_As-Built.pdf,COMED,41.900143,-87.764996,1055 N CENTRAL AVE.,XXXX,34.33,,34.42,,,,18.0,,15.81,,,,58.9,,40.83,,6104d6fbf8892d9346eb47a2
470477,CHICAGO CITY,CHPH33184_SCU-470477_Redline-Node.pdf,XXXX,"41' 59' 20.24"" N (41.988954)","87º 39' 37.25"" W (-87.660346)",5868 N. BROADWAY ST.,XXXX,34.5,,,,,,23.5,,,,,,28.0,,,,6104be3df8892d9346eb4670
470483,CHICAGO,CHPH33174_Elevation_Redlines.pdf,COMED,9999,9999,XXXX,XXXX,33.75,,33.75,,,,13.75,,11.53,,,,13.02,,40.25,,6104bb0df8892d9346eb4648
470486,CHICAGO CITY,CHPH33196_SCU-470486_Redlines-Node.pdf,XXXX,"41' 54' 20.28"" N (41.905635)","87º 40' 11.58"" W (-87.669884)",1315 N. MILWAUKEE AVE.,XXXX,34.5,,,,,,23.5,,,,,,29.0,,,,6104c740f8892d9346eb46df
470499,CHICAGO,CHPH33230_CH2296BA_61LAB_NAT_Reviewed_As_Built-Node.pdf,COMED,"41' 58' 10.30"" (41.969527)","-87 42' 24.09"" (-87.706693)",4837 N TROY ST,XXXX,37.42,,37.83,,,,9.75,,11.64,,,,11.6,,44.0,,6104dabaf8892d9346eb47cf
470503,CHICAGO,CHPH33280_SCU-470503_Redlines-Node_Revision_5-21-2020.pdf,COMED,9999,9999,XXXX,XXXX,36.25,,34.42,,,,11.58,,13.52,,10.42,,13.44,,40.5,,6104d8d5f8892d9346eb47b8
470505,CHICAGO CITY,CHPH33285_SCU-470505_Redlines-Node.pdf,XXXX,"41' 53' 47.69"" N (41.896579)","87' 45' 55.92"" W (-87.765534)",901 N. CENTRAL AVE.,XXXX,34.5,,,,,,,,,,,,32.0,,,,6104c3bbf8892d9346eb46b4
470511,CHICAGO CITY,CHPH33292_470511_NAT_Reviewed_Redline-Node.pdf,XXXX,"41' 53' 12.16"" N (41.886711)","87' 38' 55.52"" W (-87.648754)",833 W. FULTON MARKET.,XXXX,34.5,,,,,,23.5,,,,,,30.0,,,,6104ae4bf8892d9346eb45a5
